ACO_Flight_Number,Survey_Start_Time,Study_Area,Plot_ID,easting,northing,elev_ellipsoidal,lon,lat,plot_type,cardinal_direction,multi_core,depth,core,plug,mass,SWE,density
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,E,no,350,341,2,1230,88.78031,0.253658
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,E,NA,277,NA,0,NA,NA,NA
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,E,NA,259,NA,0,NA,NA,NA
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,E,NA,260,NA,0,NA,NA,NA
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,S,no,403,327,2,1470,106.1033,0.263284
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,S,NA,430,NA,0,NA,NA,NA
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,S,NA,390,NA,0,NA,NA,NA
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,S,NA,370,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,N,NA,450,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,N,NA,462,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,NA,NA,482.5,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,N,no,484,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,S,NA,431,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,S,NA,441,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,S,NA,441,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,S,no,458,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,W,NA,460,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,W,NA,486,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,W,NA,465,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,W,no,390,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,E,NA,420,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,E,NA,404,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,E,NA,379,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,E,no,327,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,N,no,452,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,N,NA,416,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,N,NA,393,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,N,NA,432,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,S,NA,380,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,S,NA,409,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,S,NA,352,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,S,NA,372,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,E,NA,458,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,E,NA,447,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,E,NA,447,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,E,NA,452,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,W,NA,449,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,W,NA,379,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,W,NA,328,NA,0,NA,NA,NA
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,W,NA,385,NA,0,NA,NA,NA
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,N,no,229,155,5,430,31.03702,0.135533
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,N,NA,223,NA,0,NA,NA,NA
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,N,NA,180,NA,0,NA,NA,NA
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,N,NA,260,NA,0,NA,NA,NA
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,Centre,no,228,225,2,820,59.18687,0.259592
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,S,no,219,191,6,560,40.4203,0.184568
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,S,NA,290,NA,0,NA,NA,NA
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,S,NA,259,NA,0,NA,NA,NA
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,S,NA,235,NA,0,NA,NA,NA
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,E,no,253,236,8,690,49.80359,0.196852
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,E,NA,145,NA,0,NA,NA,NA
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,E,NA,250,NA,0,NA,NA,NA
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,E,NA,271,NA,0,NA,NA,NA
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,W,no,225,175,0,560,40.4203,0.179646
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,W,NA,238,NA,0,NA,NA,NA
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,W,NA,215,NA,0,NA,NA,NA
1,3/11/2021 15:15,Cruickshank,CRU_E7S,330730,5503355,981.414,-125.345,49.65896,Cardinal 10 m,W,NA,234,NA,0,NA,NA,NA
1,3/9/2021 16:24,Cruickshank,CRU_CAM1,330133.1,5504196,1122.364,-125.354,49.66636,NA,NA,NA,280,NA,0,NA,NA,NA
1,3/9/2021 16:24,Cruickshank,CRU_CAM1,330133.1,5504196,1122.364,-125.354,49.66636,NA,NA,NA,279,NA,0,NA,NA,NA
1,3/9/2021 16:24,Cruickshank,CRU_CAM1,330133.1,5504196,1122.364,-125.354,49.66636,NA,NA,NA,285,NA,0,NA,NA,NA
1,3/9/2021 16:24,Cruickshank,CRU_CAM1,330133.1,5504196,1122.364,-125.354,49.66636,NA,NA,NA,115,NA,0,NA,NA,NA
1,3/9/2021 16:24,Cruickshank,CRU_CAM1,330133.1,5504196,1122.364,-125.354,49.66636,NA,NA,NA,330,NA,0,NA,NA,NA
1,3/11/2021 11:53,Cruickshank,CRU_CAM2,330643.3,5503665,1015.715,-125.347,49.66172,NA,NA,NA,355,NA,0,NA,NA,NA
1,3/11/2021 11:53,Cruickshank,CRU_CAM2,330643.3,5503665,1015.715,-125.347,49.66172,NA,NA,NA,340,NA,0,NA,NA,NA
1,3/11/2021 11:53,Cruickshank,CRU_CAM2,330643.3,5503665,1015.715,-125.347,49.66172,NA,NA,NA,360,NA,0,NA,NA,NA
1,3/11/2021 11:53,Cruickshank,CRU_CAM2,330643.3,5503665,1015.715,-125.347,49.66172,NA,NA,NA,325,NA,0,NA,NA,NA
1,3/11/2021 11:53,Cruickshank,CRU_CAM2,330643.3,5503665,1015.715,-125.347,49.66172,NA,NA,NA,370,NA,0,NA,NA,NA
1,3/11/2021 16:00,Cruickshank,CRU_CAM3,330745.8,5503357,981.427,-125.345,49.65898,NA,NA,NA,289,NA,0,NA,NA,NA
1,3/11/2021 16:00,Cruickshank,CRU_CAM3,330745.8,5503357,981.427,-125.345,49.65898,NA,NA,NA,271,NA,0,NA,NA,NA
1,3/11/2021 16:00,Cruickshank,CRU_CAM3,330745.8,5503357,981.427,-125.345,49.65898,NA,NA,NA,269,NA,0,NA,NA,NA
1,3/11/2021 16:00,Cruickshank,CRU_CAM3,330745.8,5503357,981.427,-125.345,49.65898,NA,NA,NA,284,NA,0,NA,NA,NA
1,3/11/2021 16:00,Cruickshank,CRU_CAM3,330745.8,5503357,981.427,-125.345,49.65898,NA,NA,NA,293,NA,0,NA,NA,NA
1,3/10/2021 10:21,Cruickshank,CRU_N3O,328983.6,5504641,1414.102,-125.37,49.67002,Cardinal 10 m,Centre,yes,420,448,13,2270,163.8466,0.390111
1,3/10/2021 12:28,Cruickshank,CRU_N4S,328488.8,5505113,1264.273,-125.377,49.67413,Cardinal 10 m,Centre,yes,420,460.5,0,2670,192.7182,0.458853
1,3/9/2021 2:59,Cruickshank,CRU_snowpillow,329589.6,5504502,1364.033,-125.362,49.66895,wx_snow_survey,NA,yes,402,331,0,1560,112.5994,0.280098
1,3/9/2021 9:59,Cruickshank,CRU_snowsurvey,329584.8,5504524,1362.723,-125.362,49.66914,wx_snow_survey,NA,yes,429,406,2,1630,117.652,0.274247
1,3/9/2021 9:59,Cruickshank,CRU_snowsurvey,329584.8,5504524,1362.723,-125.362,49.66914,wx_snow_survey,NA,yes,440,403,2,1650,119.0955,0.270672
1,3/9/2021 9:59,Cruickshank,CRU_snowsurvey,329584.8,5504524,1362.723,-125.362,49.66914,wx_snow_survey,NA,yes,437,428,9,1230,88.78031,0.203159
1,3/9/2021 9:59,Cruickshank,CRU_snowsurvey,329584.8,5504524,1362.723,-125.362,49.66914,wx_snow_survey,NA,yes,395,340,8,1287,92.89452,0.235176
1,3/9/2021 2:59,Cruickshank,CRU_WX_SR50,329591.9,5504507,1364.332,-125.362,49.66899,wx_snow_survey,NA,NA,430,NA,NA,NA,NA,NA
2,4/7/2021 14:46,Cruickshank,CRU_CAM3,330745.8,5503357,981.427,-125.345,49.65898,Camera + Snow Stakes,NA,NA,245,NA,0,NA,NA,NA
2,4/7/2021 14:46,Cruickshank,CRU_CAM3,330745.8,5503357,981.427,-125.345,49.65898,Camera + Snow Stakes,NA,NA,245,NA,0,NA,NA,NA
2,4/7/2021 14:46,Cruickshank,CRU_CAM3,330745.8,5503357,981.427,-125.345,49.65898,Camera + Snow Stakes,NA,NA,243,NA,0,NA,NA,NA
2,4/7/2021 14:46,Cruickshank,CRU_CAM3,330745.8,5503357,981.427,-125.345,49.65898,Camera + Snow Stakes,NA,NA,241,NA,0,NA,NA,NA
2,4/7/2021 14:46,Cruickshank,CRU_CAM3,330745.8,5503357,981.427,-125.345,49.65898,Camera + Snow Stakes,NA,NA,255,NA,0,NA,NA,NA
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,Centre,no,324,190,0,1050,75.78807,0.233914
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,S,no,343,303,2,1560,112.5994,0.328278
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,S,NA,340,NA,0,NA,NA,NA
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,S,NA,282,NA,0,NA,NA,NA
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,S,NA,332,NA,0,NA,NA,NA
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,E,no,310,271,4,1380,99.60718,0.321313
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,E,NA,317,NA,0,NA,NA,NA
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,E,NA,300,NA,0,NA,NA,NA
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,E,NA,307,NA,0,NA,NA,NA
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,N,no,254,209,14,990,71.45732,0.281328
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,N,NA,282,NA,0,NA,NA,NA
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,N,NA,307,NA,0,NA,NA,NA
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,N,NA,342,NA,0,NA,NA,NA
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,W,no,250,288,0,1540,111.1558,0.444623
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,W,NA,332,NA,0,NA,NA,NA
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,W,NA,362,NA,0,NA,NA,NA
2,4/9/2021 13:31,Cruickshank,CRU_S4F,328998.8,5504070,1210.398,-125.37,49.6649,Cardinal 10 m,W,NA,297,NA,0,NA,NA,NA
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,Centre,no,336,247,5,1020,73.62269,0.219115
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,W,no,368,360,3,1560,112.5994,0.305977
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,W,NA,344,NA,0,NA,NA,NA
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,W,NA,322,NA,0,NA,NA,NA
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,W,NA,345,NA,0,NA,NA,NA
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,N,no,331,283,0,1490,107.5469,0.324915
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,N,NA,348,NA,0,NA,NA,NA
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,N,NA,341,NA,0,NA,NA,NA
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,N,NA,363,NA,0,NA,NA,NA
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,S,no,350,200,2,1050,75.78807,0.216537
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,S,NA,306,NA,0,NA,NA,NA
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,S,NA,296,NA,0,NA,NA,NA
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,S,NA,306,NA,0,NA,NA,NA
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,E,no,221,39,0,140,10.10508,0.045724
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,E,NA,340,NA,0,NA,NA,NA
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,E,NA,310,NA,0,NA,NA,NA
2,4/9/2021 10:52,Cruickshank,CRU_S2F,328740.5,5504647,1437.473,-125.374,49.67001,Cardinal 10 m,E,NA,295,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,Centre,no,296,177,1,1320,95.27643,0.32188
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,S,NA,283,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,S,NA,286,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,S,NA,285,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,S,NA,332,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,S,no,277,262,0,1310,94.55464,0.341352
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,E,NA,281,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,E,NA,233,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,E,NA,300,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,E,NA,317,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,W,NA,300,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,W,NA,302,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,W,NA,227,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,W,NA,230,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,W,no,298,270,0,1530,110.434,0.370584
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,E,no,293,257,0,1350,97.4418,0.332566
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,N,NA,337,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,N,NA,338,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,N,NA,324,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,N,no,306,278,0,1570,113.3212,0.370331
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,N,NA,374,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,N,NA,348,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,N,NA,382,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,N,NA,342,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,Centre,no,389,325,3,1630,117.652,0.302447
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,W,NA,370,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,W,NA,324,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,W,NA,356,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,W,NA,296,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,E,NA,354,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,W,no,420,312,2,1510,108.9905,0.259501
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,E,NA,359,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,E,NA,294,NA,0,NA,NA,NA
